stock_code,trade_date,close,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci,turnover_rate,turnover_rate_f,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,stock_name,area,industry,list_date
000626.SZ,20241230,5.83,-0.167,-0.027,-0.281,14.808,16.097,12.23,27.334,35.619,44.827,7.688,6.616,5.543,-89.729,1.4662,3.6071,0.92,,1.1591,0.0338,,50894.0464,50202.3035,20405.9882,296712.2905,292679.4294,远大控股,江苏,商贸代理,19961128
601598.SH,20241230,5.41,0.038,0.032,0.013,60.517,53.57,74.412,63.046,58.818,56.247,5.424,5.318,5.211,131.807,0.556,2.5287,0.85,10.1618,1.0538,0.3437,5.3316,729421.6875,525591.6875,115566.2705,3946171.3294,2843451.0294,中国外运,北京,仓储物流,20190118
300031.SZ,20241230,19.22,-0.372,-0.086,-0.571,16.487,15.612,18.237,34.734,40.07,47.189,22.733,20.562,18.391,-85.35,3.2353,3.4398,0.77,33.2334,2.0804,2.1673,0.3099,41557.1722,34881.1294,32807.3556,798728.8497,670415.3071,宝通科技,江苏,互联网,20091225
300486.SZ,20241230,7.03,-0.21,-0.02,-0.381,14.783,12.555,19.24,26.653,37.269,46.343,9.555,8.042,6.53,-95.87,2.5627,3.6728,0.71,,2.3048,3.3507,,40744.5804,39588.8998,27622.9058,286434.4002,278309.9656,东杰智能,山西,专用机械,20150630
600285.SH,20241230,22.16,0.051,-0.015,0.131,51.12,50.365,52.631,48.631,50.245,49.542,23.287,22.16,21.032,54.266,1.1912,1.5171,1.08,18.5961,4.3428,3.5264,3.5899,56711.5486,56711.5486,44529.7588,1256727.917,1256727.917,羚锐制药,河南,中成药,20001018
603190.SH,20241230,22.45,-0.174,0.013,-0.375,22.447,19.301,28.74,37.908,42.958,48.561,24.911,23.313,21.715,-75.062,1.7328,1.7328,0.66,26.0869,1.2872,1.5114,2.049,12000.0,4051.948,4051.948,269400.0,90966.2326,亚通精工,山东,汽车配件,20230217
002545.SZ,20241230,7.18,-0.056,0.013,-0.137,21.771,16.846,31.621,32.557,40.724,48.846,8.171,7.531,6.892,-60.67,0.7867,1.7431,0.7,15.091,1.0224,2.0243,4.1783,124406.2083,113016.3708,51006.5724,893236.5756,811457.5423,东方铁塔,山东,农药化肥,20110211
300341.SZ,20241230,18.42,-0.768,-0.649,-0.238,20.195,18.257,24.07,30.462,36.057,45.649,21.773,19.776,17.779,-96.708,1.3769,3.0277,0.96,55.599,5.3608,7.149,0.38,51741.0336,51532.7661,23436.1657,953069.8389,949233.5516,麦克奥迪,福建,电气设备,20120726
600660.SH,20241230,62.14,1.255,0.877,0.756,85.687,82.989,91.085,77.695,70.778,64.336,62.577,58.725,54.873,133.699,0.4374,0.6175,0.79,23.2264,4.8559,4.3074,2.0921,260974.3532,200298.6332,141881.6828,16216946.3078,12446557.067,福耀玻璃,福建,汽车配件,19930610
605336.SH,20241230,13.09,0.155,0.551,-0.794,11.233,15.584,2.531,32.685,43.508,49.368,18.775,14.531,10.287,-73.366,3.2653,10.218,0.65,25.4079,1.2599,4.6138,4.7364,18341.245,18341.245,5861.245,240086.8971,240086.8971,帅丰电器,浙江,家用电器,20201019
300257.SZ,20241230,9.42,-0.053,-0.014,-0.078,36.084,27.602,53.048,43.236,44.767,49.076,10.164,9.659,9.154,-49.088,0.5328,1.3529,0.68,30.5519,1.4787,2.2543,1.0616,99363.5018,95455.6716,37594.4374,936004.187,899192.4265,开山股份,上海,机械基件,20110819
600188.SH,20241230,14.18,-0.276,-0.251,-0.05,29.736,23.58,42.049,46.321,41.278,43.224,15.352,14.527,13.702,-38.186,0.6591,2.6005,1.38,8.887,2.4266,1.1706,9.7049,1003986.0402,588717.2382,149202.9511,14236522.05,8348010.4377,兖矿能源,山东,煤炭开采,19980701
002240.SZ,20241230,14.3,-0.317,-0.224,-0.186,17.66,17.103,18.775,30.014,36.752,45.021,16.033,15.033,14.033,-111.003,0.9941,1.2714,1.09,,1.0845,2.7151,1.6701,91529.3872,86665.0055,67768.2302,1308870.237,1239309.5787,盛新锂能,四川,小金属,20080523
688416.SH,20241230,42.65,2.071,1.67,0.802,58.605,55.725,64.366,57.002,58.14,57.953,45.508,38.78,32.052,79.532,12.715,12.715,0.89,,2.4606,10.0264,,8263.7279,4780.1677,4780.1677,352447.9949,203874.1524,恒烁股份,安徽,半导体,20220829
688658.SH,20241230,14.99,-1.452,-1.029,-0.847,9.008,13.724,-0.425,17.766,23.659,32.372,23.354,19.135,14.916,-122.431,6.5413,13.2237,1.66,27.8457,1.8412,1.5945,,45000.0,45000.0,22259.988,674550.0,674550.0,悦康药业,北京,化学制药,20201224
300386.SZ,20241230,18.22,0.395,0.747,-0.703,20.47,31.432,-1.454,44.294,48.554,52.193,22.007,18.941,15.875,-78.124,20.7716,26.908,0.92,,5.0008,10.5024,,41804.4,24821.5153,19160.9937,761676.168,452248.0088,飞天诚信,北京,IT设备,20140626
603258.SH,20241230,20.9,-0.125,0.146,-0.543,16.432,20.327,8.642,35.537,42.6,48.628,24.038,22.034,20.029,-100.908,1.2094,2.7892,0.6,295.9493,2.3542,8.7453,2.0832,24453.235,24064.235,10434.5273,511072.6115,502942.5115,电魂网络,浙江,互联网,20161026
600620.SH,20241230,6.0,0.066,0.177,-0.222,15.553,26.33,-6.001,35.271,43.554,49.185,7.248,6.508,5.767,-112.527,1.274,3.2377,0.79,,2.7429,23.544,0.1667,68667.7113,68667.7113,27020.6059,412006.2678,412006.2678,天宸股份,上海,综合类,19921117
600403.SH,20241230,2.94,-0.096,-0.054,-0.084,16.247,13.895,20.951,32.504,35.289,43.095,3.626,3.202,2.777,-70.733,0.432,2.7868,0.84,,1.1701,1.374,,239081.2402,239081.2402,37065.1791,702898.8462,702898.8462,大有能源,河南,煤炭开采,20031009
301183.SZ,20241230,59.03,1.718,1.377,0.682,56.543,60.003,49.622,57.234,57.498,56.178,62.994,55.308,47.622,41.266,12.2158,12.2158,0.84,215.3736,5.6299,8.7204,,8000.0,4608.8,4608.8,472240.0,272057.464,东田微,湖北,元器件,20220524
300224.SZ,20241230,13.25,0.069,0.013,0.113,59.754,51.889,75.483,55.754,53.389,53.794,14.047,13.077,12.107,81.703,2.7761,5.0086,0.65,41.2466,2.943,2.1952,1.4758,83770.4281,83241.7582,46138.0134,1109958.1723,1102953.2962,正海磁材,山东,矿物制品,20110531
601528.SH,20241230,5.81,0.056,0.062,-0.012,68.741,50.41,105.402,65.054,60.351,59.124,5.879,5.699,5.519,62.484,1.4392,1.4977,1.19,5.9673,0.6376,2.696,3.0981,196216.1395,170544.2207,163880.7248,1140015.7705,990861.9223,瑞丰银行,浙江,银行,20210625
003017.SZ,20241230,18.93,-0.226,0.071,-0.593,19.26,20.777,16.226,32.696,38.362,45.994,22.612,20.54,18.469,-96.994,2.1923,2.4256,0.72,26.0265,1.5467,1.8142,2.3063,8400.0,6759.0756,6108.8866,159012.0,127949.3011,大洋生物,浙江,化工原料,20201026
000995.SZ,20241230,15.0,0.263,0.555,-0.583,17.055,29.469,-7.772,34.457,44.017,50.72,18.244,15.961,13.679,-116.919,5.7565,8.0197,0.54,647.4126,18.3075,17.1963,,17740.8,17740.8,12734.2009,266112.0,266112.0,皇台酒业,甘肃,白酒,20000807
