unchanged,stock_name,new_feature
stock_name,紫金矿业,3.3301
stock_name,长江电力,-0.0842
stock_name,兴业银行,-0.4645
stock_name,京沪高铁,-0.6738
stock_name,中国银行,-0.7153
stock_name,农业银行,-0.7185
stock_name,交通银行,-0.74
stock_name,工商银行,-0.7532
stock_name,中国石油,-0.8025
stock_name,中国石化,-0.8033
stock_name,海天味业,-0.8153
stock_name,保利发展,-0.8824
stock_name,伊利股份,-0.9019
stock_name,恒瑞医药,-0.9054
stock_name,赛力斯,-0.9472
stock_name,邮储银行,-1.0
stock_name,山西汾酒,-1.0348
stock_name,中国平安,-1.0482
stock_name,中国神华,-1.0638
stock_name,中国中免,-1.0732
stock_name,中微公司,-1.0754
stock_name,中国中车,-1.0853
stock_name,贵州茅台,-1.0876
stock_name,中国建筑,-1.121
stock_name,海光信息,-1.1327
stock_name,中国中铁,-1.1597
stock_name,国电南瑞,-1.1936
stock_name,中芯国际,-1.1938
stock_name,中国核电,-1.2422
stock_name,中国人寿,-1.2694
stock_name,中国移动,-1.2698
stock_name,寒武纪-U,-1.2735
stock_name,中国船舶,-1.2739
stock_name,中信证券,-1.2908
stock_name,陕西煤业,-1.3467
stock_name,中国太保,-1.3636
stock_name,中远海控,-1.4593
stock_name,长城汽车,-1.4904
stock_name,万华化学,-1.4985
stock_name,洛阳钼业,-1.5383
stock_name,药明康德,-1.5497
stock_name,中国联通,-1.5507
stock_name,韦尔股份,-1.75
stock_name,中国电信,-1.7682
stock_name,招商银行,-1.7693
stock_name,金山办公,-1.7852
stock_name,三一重工,-1.9707
stock_name,隆基绿能,-2.2596
stock_name,海尔智家,-2.4036
stock_name,通威股份,-22.6796
