quarter,country,gdp_yoy
2015Q1,China,7.0
2015Q2,China,7.0
2015Q3,China,6.93
2015Q4,China,6.9
2016Q1,China,6.66
2016Q2,China,6.7
2016Q3,China,6.7
2016Q4,China,6.7
2017Q1,China,6.9
2017Q2,China,6.9
2017Q3,China,6.9
2017Q4,China,6.8
2018Q1,China,6.8
2018Q2,China,6.8
2018Q3,China,6.7
2018Q4,China,6.6
2019Q1,China,6.4
2019Q2,China,6.3
2019Q3,China,6.2
2019Q4,China,6.1
2020Q1,China,-6.8
2020Q2,China,-1.6
2020Q3,China,0.7
2020Q4,China,2.3
2021Q1,China,18.3
2021Q2,China,12.7
2021Q3,China,9.8
2021Q4,China,8.1
2022Q1,China,4.8
2022Q2,China,2.5
2022Q3,China,3.0
2022Q4,China,3.0
2023Q1,China,4.5
2023Q2,China,5.5
2023Q3,China,5.2
2023Q4,China,5.2
2024Q1,China,5.3
2024Q2,China,5.0
2024Q3,China,4.8
2024Q4,China,5.0
