quarter,country,gdp
2015Q1,China,150593.8
2015Q2,China,318468.4
2015Q3,China,494272.1
2015Q4,China,685992.9
2016Q1,China,160967.3
2016Q2,China,340846.0
2016Q3,China,530183.6
2016Q4,China,740060.8
2017Q1,China,179403.4
2017Q2,China,378581.1
2017Q3,China,588405.3
2017Q4,China,820754.3
2018Q1,China,197920.0
2018Q2,China,417215.4
2018Q3,China,646710.9
2018Q4,China,900309.5
2019Q1,China,218062.8
2019Q2,China,460636.7
2019Q3,China,712845.4
2019Q4,China,990865.1
2020Q1,China,206504.3
2020Q2,China,456614.4
2020Q3,China,722786.4
2020Q4,China,1015986.2
2021Q1,China,249310.0
2021Q2,China,532167.0
2021Q3,China,823131.0
2021Q4,China,1143670.0
2022Q1,China,270178.0
2022Q2,China,562642.0
2022Q3,China,870269.0
2022Q4,China,1210207.0
2023Q1,China,284996.6
2023Q2,China,593034.2
2023Q3,China,913027.0
2023Q4,China,1260582.1
2024Q1,China,296299.0
2024Q2,China,616836.0
2024Q3,China,949745.7
2024Q4,China,1349083.5
