datetime,content
[datetime]: 2025-04-26 14:11:12,[content]: 乌克兰总统泽连斯基发言人：乌克兰总统泽连斯基已抵达罗马，参加教皇的葬礼。
[datetime]: 2025-04-26 14:10:55,[content]: 市场消息：俄罗斯无人机袭击了乌克兰工业地区第聂伯罗彼得罗夫斯克的一座九层住宅楼，造成1人死亡，至少3人受伤，其中包括一名儿童。
[datetime]: 2025-04-26 14:10:30,[content]: 市场消息：俄罗斯军队夜间在扎波罗热地区发起了414次袭击。
[datetime]: 2025-04-26 14:10:24,[content]: 【麦当劳在俄申请商标注册】美国餐饮连锁公司麦当劳已向俄罗斯联邦知识产权局申请注册其商标。该申请现已进入审查阶段。文件显示，该申请早在2024年12月就已提交，但直到2025年才公布。该申请于4月被接受审议。声明指出：“麦当劳公司还就商品和服务清单是否符合《准则》要求发出了一封信。”
[datetime]: 2025-04-26 14:10:24,[content]: 【麦当劳在俄申请商标注册】美国餐饮连锁公司麦当劳已向俄罗斯联邦知识产权局申请注册其商标。该申请现已进入审查阶段。文件显示，该申请早在2024年12月就已提交，但直到2025年才公布。该申请于4月被接受审议。声明指出：“麦当劳公司还就商品和服务清单是否符合《准则》要求发出了一封信。”
[datetime]: 2025-04-26 14:09:54,[content]: 市场消息：乌克兰总统泽连斯基及其妻子抵达罗马。
[datetime]: 2025-04-26 14:09:28,[content]: 【美媒：五角大楼上月拟为马斯克准备的对华作战简报含绝密武器信息，后因指令来源等原因被叫停】美国《华尔街日报》当地时间4月25日援引知情人士消息爆料，五角大楼高级助手上月拟为美国企业家、政府效率部牵头人马斯克制定一份简报，内容涉及二十多个高度机密的武器项目，主要用于“对抗中国”，然而这一简报计划很快被五角大楼代理首席法律顾问查尔斯·杨出面叫停，原因在于部分担忧尚未排除，且指令来源存疑。（环球网）
[datetime]: 2025-04-26 14:09:28,[content]: 【美媒：五角大楼上月拟为马斯克准备的对华作战简报含绝密武器信息，后因指令来源等原因被叫停】美国《华尔街日报》当地时间4月25日援引知情人士消息爆料，五角大楼高级助手上月拟为美国企业家、政府效率部牵头人马斯克制定一份简报，内容涉及二十多个高度机密的武器项目，主要用于“对抗中国”，然而这一简报计划很快被五角大楼代理首席法律顾问查尔斯·杨出面叫停，原因在于部分担忧尚未排除，且指令来源存疑。（环球网）
[datetime]: 2025-04-26 13:58:22,[content]:                                     【上海航交所：本周运输需求释放，沿海综合运价指数上涨】 据上海航运交易所，本周，受大风天气影响，长江连续封航，船舶运力周转偏缓。叠加五一假期来临，终端运输需求转浓，船少货多格局下，沿海散货综合指数稳步上涨。4月25日，上海航运交易所发布的中国沿海（散货）综合运价指数报收1067.83点，较上期上涨0.5%。
[datetime]: 2025-04-26 13:57:22,[content]:                                     【上海航交所：本周出口集装箱运输市场表现基本平稳，部分航线略有波动】 据上海航运交易所，本周，中国出口集装箱运输市场表现基本平稳，部分航线略有波动。4月25日，上海航运交易所发布的上海出口集装箱综合运价指数为1347.84点，较上期下跌1.7%。
[datetime]: 2025-04-26 13:57:20,[content]: 【叙利亚称已落实大部分美国提出的解除制裁条件】当地时间4月26日，总台记者获悉，叙利亚已书面回应美国提出的一系列可能解除部分制裁的条件，称已落实其中大部分条件，但其他条件需要与美国政府“相互理解”。上个月，美国向叙利亚提交了一份清单，其中列出了要求叙方满足的八项条件，包括销毁任何剩余的化学武器库存，并确保外国人不担任政府高级职务等。据悉，叙利亚迫切需要解除制裁，以重振其因14年战争而崩溃的经济。在此期间，美国、英国和欧洲实施了严厉制裁，试图向前总统巴沙尔·阿萨德施压。今年1月，美国对部分制裁措施实施了为期六个月的豁免，以鼓励援助，但效果有限。据消息人士今年3月份称，作为满足美国所有要求的交换条件，美国政府将把暂停制裁期限延长两年，并可能再次给予豁免。当地时间3月18日，美国高级官员娜塔莎·弗朗切斯基在布鲁塞尔举行的叙利亚捐助国会议期间的一次面对面会议上，向叙利亚外交部门负责人阿萨德·希巴尼递交了条件清单。（央视新闻）
[datetime]: 2025-04-26 13:50:50,[content]: 巴基斯坦总理表示，准备好对克什米尔袭击进行“中立调查”。
[datetime]: 2025-04-26 13:46:54,[content]: 【巴防长：“我们曾给西方‘干脏活’，付出了代价”】 综合英国天空新闻台、今日俄罗斯电视台等外媒25日报道，巴基斯坦国防部长阿西夫就美国等西方国家在地区安全紧张局势中扮演的角色表示谴责。在当天播出的节目采访中，阿西夫表示，巴基斯坦曾有过为西方国家“干脏活”的历史，但那是错误的。 阿西夫在英国天空新闻台采访中表示，“我们为美国和包括英国在内的西方国家干脏活有过三十年（的历史）”，而那是“一个错误”，巴基斯坦“为此付出了代价”。“如果我们没有参加针对苏联的战争和‘9·11’事件后的战争，巴基斯坦的历史记录将会是无可挑剔的，” 他说道。（环球时报）
[datetime]: 2025-04-26 13:41:35,[content]: 市场消息：塞尔维亚总统亚历山大·武契奇表示，由俄罗斯天然气工业股份公司（GAZP）和俄罗斯天然气工业石油公司（SIBN）所有的塞尔维亚尼什（NIIS.BEL）石油公司获得美国的第三次制裁豁免。
[datetime]: 2025-04-26 13:41:35,[content]: 市场消息：塞尔维亚总统亚历山大·武契奇表示，由俄罗斯天然气工业股份公司（GAZP）和俄罗斯天然气工业石油公司（SIBN）所有的塞尔维亚尼什（NIIS.BEL）石油公司获得美国的第三次制裁豁免。
[datetime]: 2025-04-26 13:39:01,"[content]: 【特朗普：不介意被铭记为扩张领土的总统 收购格陵兰岛和加拿大并非玩笑】 4月22日，美国总统特朗普接受《时代》杂志专访。4月25日，《时代》周刊刊发专访报道。部分采访如下： 

《时代》杂志：你曾谈到过收购格陵兰岛、控制巴拿马运河、将加拿大变成第51个州。或许在这些言论中，你有些调侃的成分？ 

美国总统特朗普：实际上，我并不是调侃。 

《时代》杂志：那么，你想要扩大美国的帝国吗？ 

美国总统特朗普：这要看怎么定义帝国了，这些地方并不是我们原本拥有的，如果有合适的机会，我会以不同的角度看待这些问题。我认为，如果格陵兰岛属于我们，它会非常有利于我们，我认为这对我们国家安全甚至国际安全都非常重要。至于加拿大，你提到的“这个可能是调侃”，但我并不是在开玩笑。加拿大是个有趣的案例。我们每年为支持加拿大亏损2000亿到2500亿美元。我曾问过我称之为“特鲁多州长”的那个人：“为什么？你觉得我们支持你亏这么多钱是对的吗？你认为另一个国家承担让你维持的费用是合适的吗？”他无法给我答案，但我们每年花费超过2000亿美元来照顾加拿大。我们在照顾他们的军队，照顾他们生活的方方面面，我们根本不需要他们为我们生产汽车。事实上，我们不希望他们为我们生产汽车，我们自己能做。我们不需要他们的木材，不需要他们的能源，甚至不需要从加拿大得到任何东西。所以，我认为，唯一能够真正解决这一切的办法就是让加拿大成为一个州。 

《时代》杂志：你想要被铭记为一位扩张美国领土的总统吗？ 

美国总统特朗普：不介意。（环球时报）"
[datetime]: 2025-04-26 13:38:23,[content]: 【广州中介行业迎新变数？贝壳入穗“联姻”老牌机构合富辉煌60家店】近日有市场传言称，广州本土老牌机构合富置业将加盟贝壳。对此，合富方面否认加盟，并向媒体表示，合富置业与贝壳是合作关系。
[datetime]: 2025-04-26 13:34:22,[content]: 【乌称敲定乌美矿产协议文本仍需时间】乌克兰外交部发言人季希4月25日表示，乌方正与美方敲定矿产协议最终文本，这将需要一些时间。季希表示，乌方认为乌美矿产协议的最终文本应该是双方都能接受且互利共赢的，相信能够找到一个让双方都能从中受益的方案。 美国总统特朗普25日在社交媒体称，希望能够“立即”签署协议。（CCTV国际时讯）
[datetime]: 2025-04-26 13:32:27,[content]: 【贾跃亭首次回应“下周回国”梗：重返中国有两个前提】“下周回国”已成经典梗，针对公众对“下周回国”梗的持续质疑，贾跃亭4月26日首次回应称，此前提出的“两年为限”战略与个人回国计划深度绑定，核心目标是通过FF和FX双品牌战略的实质性突破实现债务偿还能力的根本提升。贾跃亭强调，“两年为限”指的是公司战略实施的时间表，而非回国承诺。“我希望用这两年的时间表来看我们战略能否真正取得实质性成效，”他表示，回国前提是公司在经济基本面和资本基本面都取得实质性成功，使他有条件解决债务问题。对于何时真正解决债务问题，贾跃亭没有给出具体时间点。
[datetime]: 2025-04-26 13:26:03,[content]: 印度矿业部长：煤炭将继续在能源安全中扮演核心角色。
[datetime]: 2025-04-26 13:23:30,[content]: 【湖南省长毛伟明在长沙调研稳外贸工作】湖南省委副书记、省长毛伟明4月25日上午在长沙调研稳外贸工作。长沙是湖南对美贸易的重点区域，有1500余家相关企业，企业数量和进出口额均占全省一半以上。如何帮助企业在严峻挑战面前破局突围，是毛伟明此次调研的重点。走访中，毛伟明强调，当前，外部环境复杂性、严峻性、不确定性还在上升。要坚信心。在党中央的坚强领导下，依托超大规模的国内市场和成熟完备的产业体系，以及日益增强的科创实力，我们就能应对好各类风险挑战，实现好自身发展。要稳大盘。充分发挥中非经贸博览会等开放平台优势，支持企业在欧洲、东盟等市场抢单拓市，稳定重点供应链企业。要扩内需。从需求侧和供给侧两端发力，实施好消费品以旧换新专项行动，创新产品和服务，以高质量供给引领需求、创造需求。要练内功。以更高水平推进科技创新和产业创新深度融合，以更大力度推进改革开放，充分激发各类经营主体活力。要优服务。细化用好我省促进外贸稳定增长的政策措施，纵深推进“送解优”“链长到一线”行动，“一行一案”“一企一策”解决实际困难。
[datetime]: 2025-04-26 13:23:12,[content]: 【叙利亚致信回应美国解除制裁的条件】据媒体看到的信函副本显示，叙利亚以书面形式回应了美国提出的可能解除部分制裁的条件清单，称已就其中多数条件采取行动，但其他条件需要与华盛顿达成“相互谅解”。美国上个月向叙利亚提交了一份清单，列出了其希望叙利亚方面履行的八个条件，包括销毁任何剩余的化学武器库存，并确保外国人不担任高级管理职务。叙利亚迫切需要解除制裁，以重启因14年战争而崩溃的经济。在此期间，美国、英国和欧洲对叙利亚实施了严厉的制裁，以向前总统巴沙尔·阿萨德施压。在这份长达四页的文件中，叙利亚承诺在外交部设立一个联络处，寻找失踪的美国记者奥斯汀·泰斯，并详细介绍了叙利亚在处理化学武器库存方面的工作，包括与一个全球武器监督机构建立更紧密的联系。但在其他关键要求上，包括撤出外国战斗人员和允许美国进行反恐打击等问题上，叙利亚没有太多表态。
[datetime]: 2025-04-26 13:18:53,[content]: 市场消息：哈马斯代表团将于周六抵达开罗，就未来加沙人质停火协议进行谈判。
[datetime]: 2025-04-26 13:16:54,[content]: 市场消息：俄罗斯在过去24小时内损失了1110名士兵。
[datetime]: 2025-04-26 13:16:38,[content]: 联合国难民署驻乌克兰代表卡罗琳娜·林德霍尔姆·比林称，在美国削减资金后，联合国难民事务高级专员办事处（UNHCR）暂停了在乌克兰的三项支持计划。
