unchanged,stock_name,new_feature
stock_name,韦尔股份,0.3082
stock_name,三一重工,0.1978
stock_name,山西汾酒,0.1629
stock_name,紫金矿业,0.1502
stock_name,恒瑞医药,0.1368
stock_name,药明康德,0.1152
stock_name,兴业银行,0.1031
stock_name,金山办公,0.0995
stock_name,寒武纪-U,0.0898
stock_name,中国电信,0.0816
stock_name,中国银行,0.0758
stock_name,洛阳钼业,0.0729
stock_name,海光信息,0.0684
stock_name,农业银行,0.0666
stock_name,中国联通,0.0598
stock_name,招商银行,0.0579
stock_name,工商银行,0.0527
stock_name,交通银行,0.0439
stock_name,中微公司,0.0407
stock_name,贵州茅台,0.0397
stock_name,长江电力,0.0178
stock_name,赛力斯,0.0135
stock_name,伊利股份,0.0068
stock_name,中国平安,0.0
stock_name,中芯国际,-0.0101
stock_name,中国中免,-0.0201
stock_name,中国移动,-0.0239
stock_name,邮储银行,-0.0269
stock_name,保利发展,-0.0357
stock_name,京沪高铁,-0.0365
stock_name,中远海控,-0.0446
stock_name,隆基绿能,-0.0473
stock_name,中国建筑,-0.0533
stock_name,海天味业,-0.0699
stock_name,中国太保,-0.0756
stock_name,国电南瑞,-0.0855
stock_name,中信证券,-0.0863
stock_name,中国人寿,-0.0881
stock_name,中国石油,-0.0889
stock_name,中国核电,-0.0906
stock_name,中国中铁,-0.0951
stock_name,中国神华,-0.1007
stock_name,长城汽车,-0.1061
stock_name,中国中车,-0.1181
stock_name,海尔智家,-0.1209
stock_name,中国石化,-0.1372
stock_name,中国船舶,-0.153
stock_name,陕西煤业,-0.1671
stock_name,万华化学,-0.2192
stock_name,通威股份,-0.2617
