unchanged,stock_name,new_feature
stock_name,韦尔股份,0.3442
stock_name,三一重工,0.2479
stock_name,紫金矿业,0.17
stock_name,山西汾酒,0.1643
stock_name,金山办公,0.159
stock_name,药明康德,0.1372
stock_name,恒瑞医药,0.1346
stock_name,兴业银行,0.0957
stock_name,寒武纪-U,0.0954
stock_name,中国电信,0.0942
stock_name,中国联通,0.0916
stock_name,洛阳钼业,0.079
stock_name,海光信息,0.0786
stock_name,招商银行,0.0743
stock_name,中国银行,0.068
stock_name,农业银行,0.0588
stock_name,工商银行,0.0482
stock_name,中微公司,0.0441
stock_name,贵州茅台,0.0418
stock_name,交通银行,0.0355
stock_name,赛力斯,0.0116
stock_name,长江电力,0.0067
stock_name,伊利股份,0.0047
stock_name,中国平安,0.0018
stock_name,中芯国际,-0.0007
stock_name,中国移动,-0.0169
stock_name,中国中免,-0.0176
stock_name,隆基绿能,-0.0259
stock_name,邮储银行,-0.0269
stock_name,中远海控,-0.0313
stock_name,保利发展,-0.038
stock_name,京沪高铁,-0.0431
stock_name,中国建筑,-0.0498
stock_name,中国太保,-0.0579
stock_name,中信证券,-0.0707
stock_name,海天味业,-0.073
stock_name,中国人寿,-0.0758
stock_name,国电南瑞,-0.0784
stock_name,中国核电,-0.0847
stock_name,长城汽车,-0.0883
stock_name,中国中铁,-0.0885
stock_name,中国石油,-0.0924
stock_name,中国神华,-0.0996
stock_name,海尔智家,-0.1092
stock_name,中国中车,-0.1143
stock_name,中国石化,-0.1402
stock_name,中国船舶,-0.1441
stock_name,陕西煤业,-0.1654
stock_name,万华化学,-0.2103
stock_name,通威股份,-0.2472
