stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
600036.SH,20190102,120.217,120.456,116.632,117.44460000000001,25.2,-0.63,-2.5,555166.12,1368988.405,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190103,116.632,119.739,116.5364,118.9264,24.57,0.31,1.2617,374107.58,929035.565,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190104,118.35280000000002,122.607,117.827,121.93780000000001,24.88,0.63,2.5322,668531.4,1690412.096,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190107,121.93780000000001,123.1806,120.8862,121.9856,25.51,0.01,0.0392,456040.29,1162564.002,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190108,121.89,121.9856,120.26480000000001,120.55160000000001,25.52,-0.3,-1.1755,269280.31,680284.501,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190109,120.55160000000001,124.75800000000001,120.55160000000001,122.846,25.22,0.48,1.9033,638200.48,1644588.152,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190110,121.89,124.6624,121.7466,123.56300000000002,25.7,0.15,0.5837,426306.89,1101271.158,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190111,123.56300000000002,127.05239999999999,123.08500000000001,126.4788,25.85,0.61,2.3598,493910.33,1299657.728,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190114,126.4788,126.9568,125.3316,125.7618,26.46,-0.15,-0.5669,294244.62,776229.254,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190115,125.7618,128.2474,125.71400000000001,128.104,26.31,0.49,1.8624,366718.91,976628.108,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190116,127.626,128.4864,127.1958,128.34300000000002,26.8,0.05,0.1866,229955.24,615072.738,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190117,128.34300000000002,128.34300000000002,126.3354,126.5266,26.85,-0.38,-1.4153,323682.14,862634.819,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190118,126.5266,130.30280000000002,126.4788,129.538,26.47,0.63,2.3801,546397.85,1474685.187,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190121,129.4424,132.406,129.20340000000002,130.63739999999999,27.1,0.23,0.8487,415588.08,1136772.654,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190122,130.494,131.211,127.91280000000002,128.9644,27.33,-0.35,-1.2806,349072.41,942772.504,4.78,600036,招商银行,深圳,银行,20020409
600036.SH,20190123,128.821,131.06760000000003,128.6776,129.8248,26.98,0.18,0.6672,273250.47,742831.971,4.78,600036,招商银行,深圳,银行,20020409
