title,content,date,cleaned_content,sentiment,sentiment_label
黑客窃取迪士尼 Slack 频道 1.1TB 数据后，承认两项重罪指控,"IT 5 2 Walt Disney Slack 7 1.1TB 
 Ryan Mitchell KramerITNullBulge
 Slack Microsoft Teams 10,000 Slack 
Kramer 
2024 Kramer  GitHub AI Kramer 
Kramer  Slack 1.1TB 
 Kramer  
IT",2025-05-02,IT52WaltDisney Slack71.1 TB RyanMitchellKramerITNullBulgeSlackMicrosoftTeams10 000SlackKramer2024Kramer GitHubAIKramer Kramer Slack1.1 TBKramer IT,0.00027798941246282016,负面
巴菲特股东大会前瞻：执掌伯克希尔60年 巨轮将驶向何方,53·Berkshire Hathaway·Warren Buffett9460538539,2025-05-01,53 BerkshireHathaway WarrenBuffett9460538539,0.44767845850986676,中性
美国经济三年来首次萎缩，关税生效前企业大力囤货导致进口创纪录,"100
112025
 High Frequency EconomicsCarl WeinbergGDPGDP
GDP0.3%2022
GDP22.5%
3.0%2.9%
GDP0.3%2.4%
41.3%2020GDP4.83
GDP1401GDP2.25
0.8%
3PCE20.5%3
4.0%1.8%
30.7%4",2025-05-01,100112025HighFrequencyEconomicsCarlWeinbergGDPGDPGDP0.3% 2022GDP22.5% 3.0% 2.9% GDP0.3% 2.4% 41.3% 2020GDP4.83 GDP1401GDP2.250 8% 3PCE20.5% 34.0% 1.8% 30.7%,0.049186074103048205,负面
关于新冠疫情防控与病毒溯源的中方行动和立场,"191814
20202021
202078202010124
20211217172829
2021330SARS-CoV-2
2021SAGOSARS-CoV-2SAGO
SARS-CoV-2
SARS-CoV-2
202020191112128
20217.617420191012
2022201991123143850201912
8201720212020
20… [+995 chars]",2025-04-30,19181420202021202078202010124202112171728292021330SARS CoV 22021SAGOSARS CoV 2SAGOSARS CoV 2SARS CoV 220202019111212820217.6174201910122022201991123143850201912820172021202020 995chars,0.186883963356826,负面
办公生产力跃升：Hi MateBook D 16发布，同价位大屏本的实力之选,"Hi MateBook DHi MateBook D 16 202516®5AI
16
Hi MateBook D 16 1616:1016:910%WordExcel90%4.6mm
1920x1200100% sRGB300Hi MateBook D 16TÜVDC
Hi MateBook D 16 ® 5Intel®Graphics
Hi MateBook D 16Fn+P40W… [+454 chars]",2025-04-30,HiMateBookDHiMateBookD16202516 5AI16HiMateBookD161616 1016 910% WordExcel90% 4.6 mm1920x1200100% sRGB300HiMateBookD16T VDCHiMateBookD16 5Intel GraphicsHiMateBookD16Fn P40W 454chars,0.00020155748759254077,负面
受权发布丨关于新冠疫情防控与病毒溯源的中方行动和立场,"43030
20254
191814
20202021
202078202010124
20211217172829
2021330SARS-CoV-2
2021SAGOSARS-CoV-2SAGO
SARS-CoV-2
SARS-CoV-2
202020191112128
20217.617420191012
2022201991123143850201912
820… [+990 chars]",2025-04-30,430302025419181420202021202078202010124202112171728292021330SARS CoV 22021SAGOSARS CoV 2SAGOSARS CoV 2SARS CoV 220202019111212820217.6174201910122022201991123143850201912820 990chars,0.17144602564591438,负面
关于新冠疫情防控与病毒溯源的中方行动和立场,"430 30
20254
191814
20202021
202078202010124
20211217172829
2021330SARS-CoV-2
2021SAGOSARS-CoV-2SAGO
SARS-CoV-2
SARS-CoV-2
202020191112128
20217.617420191012
2022201991123143850201912
82… [+991 chars]",2025-04-30,430302025419181420202021202078202010124202112171728292021330SARS CoV 22021SAGOSARS CoV 2SAGOSARS CoV 2SARS CoV 220202019111212820217.617420191012202220199112314385020191282 991chars,0.2751179465654179,负面
一季度我国黄金市场稳健运行,"428
202587.24320241.2841.49%61.77225.471202553.5870.68%140.831.18%
3103A+H202518.48513.14%
290.4925.96%134.53126.85%138.01829.81%
1.64.57%10.742.85%5.5491.17%30.52143.69%2025ETF23.473ETF138.21
2… [+8 chars]",2025-04-29,428202587.24320241 2841.49% 61.77225 471202553.5870 68% 140.831 18% 3103A H202518.48513 14% 290.4925 96% 134.53126 85% 138.01829 81% 1.64 57% 10.742 85% 5.5491 17% 30.52143 69% 2025ETF23.473 ETF138.212 8chars,0.5279969104827694,中性
AI数据中心建设热火朝天 科技巨头却集体踩刹车,"Vertiv·Giordano AlbertazziAI22%
·Kevin Miller
AIDeepSeek5000Stargate
CBRE·Pat LynchAI
10
UBSAI6.71750
20222024
Alphabet·Anat Ashkenazi2025
830BGO·John CarrafiellMeta20253000AIOpenAI
//AIAI
… [+199 chars]",2025-04-28,Vertiv GiordanoAlbertazziAI22% KevinMillerAIDeepSeek5000StargateCBRE PatLynchAI10UBSAI6.7175020222024 Alphabet AnatAshkenazi2025830BGO JohnCarrafiellMeta20253000AIOpenAI AIAI 199chars,0.07393837067689402,负面
贸易平衡会使美国不再伟大,"10%10%2025
499.96%20%80%20241.29600
9600
20012220248.66.6
1993286
202528.822020
1 1999-2024 
The U.S. Bureau of Economic Analysis 
8.4200220238203 USAFACTS202490549063
20702018
USAFACTS, Ho… [+127 chars]",2025-04-27,10% 10% 2025499.96% 20% 80% 20241.29600960020012220248 66.61993286202528 82202011999 2024TheU BureauofEconomicAnalysis8.4200220238203 USAFACTS20249054906320702018USAFACTS Ho 127chars,0.031955983299580826,负面
美团、京东关键一役：即时零售的短期激战与长期博弈,"421
AppPoloApp
4232
204
415
2014
20253
2015
20183CiPhone202030
202523%9.5%
8
XBU
20241.16202493
15201196%20246.8%20202021
20231.66%
2024POP7.4%202230%
2024GMV
20243C50%
20241828542.… [+283 chars]",2025-04-27,421AppPoloApp4232204415201420253201520183CiPhone202030202523% 9.5% 8XBU20241.1620249315201196% 20246.8% 2020202120231.66% 2024POP7.4% 202230% 2024GMV20243C50% 20241828542 283chars,0.09229873213233142,负面
家里安装了监控摄像头 有人可能在网上直播你家,"NulledCast Discord Ring Nest 
......
 2
 2022 10 
Federal Trade Commission Ring 580 Ring 
tenor
 Ring Ring 
Motherboard 2019 Ring /Ring 
2019 Wirecutter Google Nest ·Matthew Guariglia
/
32 … [+103 chars]",2025-04-25,NulledCastDiscordRingNest ...... 2202210FederalTradeCommissionRing580RingtenorRingRingMotherboard2019Ring Ring2019WirecutterGoogleNest MatthewGuariglia 32 103chars,0.020600588267144282,负面
坚定维护全球经贸秩序,"4
19291933193053%4519296861933242193427321962193446%12%GATT
206090196511198852137%196819861987100%1985199119912011GDP0.9%
4203020182019
10%20241.21201750%68835247163736109010%145%245%
940%13%
8… [+56 chars]",2025-04-25,419291933193053% 4519296861933242193427321962193446% 12% GATT206090196511198852137% 196819861987100% 1985199119912011GDP0.9% 420302018201910% 20241.21201750% 68835247163736109010% 145% 245% 940% 13% 56chars,0.23141350136096162,负面
习近平总书记率领打赢脱贫攻坚战（下）,"1957200222007122011320131120213
20201210202442224
2020
20195227071113
10%15%80%20203243
3000
102030
818001
20014010201658
90
8325859
70%20%
100
20152900202010740201970201437GDP
70%40%20… [+143 chars]",2025-04-25,19572002220071220113201311202132020121020244222420202019522707111310% 15% 80% 2020324330001020308180012001401020165890832585970% 20% 10020152900202010740201970201437GDP70% 40% 20 143chars,0.0878890288623645,负面
赛博安身权：人类对抗硅基殖民的最后防线——马斯克的战争之二,"DOGE20252DOGEOPM200FAA400
20253NOAADOGESpaceX
PalantirSpaceXStarlinkFAA
XX20232024X30%
XMetaOpenAI2024MetaHorizon Worlds80%
20251X@bearwhiteweb350%
20254XStarshipOptimus2026
--
 2024MetaWhats… [+234 chars]",2025-04-24,DOGE20252DOGEOPM200FAA40020253NOAADOGESpaceXPalantirSpaceXStarlinkFAAXX20232024X30% XMetaOpenAI2024MetaHorizonWorlds80% 20251X bearwhiteweb350% 20254XStarshipOptimus2026 -- 2024MetaWhats 234chars,0.25917217081084476,负面
看清中国，做多中国（中）,"40
90
1
2030
20249412076662.0
202435046.521.510.3202019051765.302.4%2.04%10-20
1050
20182.010-20
3-5
ROIC20051.7%20237.3%2024
10008000
5-10
20252024202520252025
2022AI
184019121949
197… [+55 chars]",2025-04-24,40901203020249412076662.0202435046 521.510 3202019051765.302 4% 2.04% 10 20105020182.010 203 5ROIC20051.7% 20237.3% 2024100080005 10202520242025202520252022AI184019121949197 55chars,0.023509114277860288,负面
告别“英伟达依赖”，车企掀起换“芯”潮,"1H20
AI
43
B
4125%
20%
600~70016003000
202470%
10~13CIS
CIS
202559
CIS
202422.4%498%23.5%
CIS202423.7%68.4%
2019Tamul
2024528Drive Orin-X210
C
202572
36
0
50
20253
AI700 TOPSAIT… [+48 chars]",2025-04-24,1H20AI43B4125% 20% 600 70016003000202470% 10 13CISCIS202559CIS202422.4% 498% 23.5% CIS202423.7% 68.4% 2019Tamul2024528DriveOrin X210C2025723605020253AI700TOPSAIT 48chars,0.000998609882170598,负面
强如开挂！电竞性能旗舰荣耀GT Pro正式发布，3199元起,"2025423GT ProGT Pro3199GT ProGT
8
GT Pro8CPU4.47GHzGPU1.2GHzLPDDR5X UltraUFS 4.1
GT ProRAMAIGT Pro
GTGT ProAI2.0GT Pro1%Low0
GT ProSoC
GT Pro2700Hz432Hz144Hz
AI2.0AIAI0
GT Pro40%R
7200mAh
G… [+331 chars]",2025-04-23,2025423GTProGTPro3199GTProGT8GTPro8CPU4.47 GHzGPU1.2 GHzLPDDR5XUltraUFS4.1 GTProRAMAIGTProGTGTProAI2.0 GTPro1% Low0GTProSoCGTPro2700Hz432Hz144HzAI2.0 AIAI0GTPro40% R7200mAhG 331chars,0.9359584322001591,正面
习近平总书记率领打赢脱贫攻坚战（上）,"20247
1957200222007122011320131120213
20201210202442224
3
803000
12020
201212
201311
2014135113550201213.0415.6%
2015618
2015112020
85201620205
202020204000199420002001201032092688331832… [+336 chars]",2025-04-23,202471957200222007122011320131120213202012102024422243803000120202012122013112014135113550201213.0415 6% 2015618201511202085201620205202020204000199420002001201032092688331832 336chars,0.10379525486001573,负面
中国零售为何没有超越美国？,"20192020202420%2020
2019
201020194195.6%2694201910-11
20198%
20202020-202190%5300
202220241.879.3%20251.783.8%20142020
202032.4CAREs60021.441.6
2020513.6%
202420/CS201952%
202150202130%30%
… [+167 chars]",2025-04-22,20192020202420% 20202019201020194195.6% 2694201910 1120198% 20202020 202190% 5300202220241.879 3% 20251.783 8% 20142020202032.4 CAREs60021.441 62020513.6% 202420 CS201952% 202150202130% 30% 167chars,0.19879189758096993,负面
超1200名顶级经济学家签署“反关税宣言” 诺奖得主、前总统顾问均在列！,24 anti-tariff declaration,2025-04-21,24anti tariffdeclaration,0.3753580990227543,负面
