title,content,date,cleaned_content,sentiment,sentiment_label
关税不是苹果的心腹大患 AI才是,"iPhoneiPadMacApple WatchAirPods
9
330
4 iPhoneMaciPadApple WatchVision ProApple Care+
20259545%2485%3.8%
4iOS18.4AIApple IntelligenceiPhoneAI
Siri3
AI
WWDC
iPhone4682%Mac797%iPad 6415%26612%… [+417 chars]",2025-05-02,iPhoneiPadMacAppleWatchAirPods93304iPhoneMaciPadAppleWatchVisionProAppleCare 20259545% 2485% 3.8% 4iOS18.4 AIAppleIntelligenceiPhoneAISiri3AIWWDCiPhone4682% Mac797% iPad6415% 26612% 417chars,0.008271902619590321,负面
苹果电话会：美国设备“大多数”将来自印度、越南 关税或致Q3成本增加9亿美元,"CEOTim Cook4-6965.4AIApp Store
6iPhoneiPadMacApple WatchAirPods
iPhone250050%
Face ID12190
9
9
1-35%9505%248iPhone2%4%
TechInsightsiPhone 16 Pro300-500
AIAI
WWDC 2024Siri
Apple Intelligence… [+3177 chars]",2025-05-02,CEOTimCook4 6965.4 AIAppStore6iPhoneiPadMacAppleWatchAirPodsiPhone250050% FaceID12190991 35% 9505% 248iPhone2% 4% TechInsightsiPhone16Pro300 500AIAIWWDC2024SiriAppleIntelligence 3177chars,0.010777790757890982,负面
纽约时报：苹果不能没有中国,"iPhone
80%iPhone
80%670
iPhoneAirPods
iPhone
7700
CEO·(Tim Cook)9
·(Gene Munster)3.21.6
1.2
5006%50016401(k)
·(Howard Lutnick)4iPhone
iPhone
 iPhoneMac
20iPhone
TechInsights·(Wayne Lam)… [+97 chars]",2025-05-02,iPhone80% iPhone80% 670iPhoneAirPodsiPhone7700CEO TimCook GeneMunster 3.21 61.25006% 50016401 HowardLutnick 4iPhoneiPhoneiPhoneMac20iPhoneTechInsights WayneLam 97chars,0.029688837488046405,负面
库克第二财季电话会议要点：首次回应关税影响、中国区收入为何下滑？,2025CEOTim Cook(Tim Cook)CFO·(Kevan Parekh),2025-05-02,2025CEOTimCook TimCook CFO KevanParekh,0.421874597530976,中性
苹果第二财季业绩略超预期 警告关税将增加成本 股价盘后跌4%,"2025329953.6943907.53247.8242.6236.361.651.621.53
iPhone468.4458.44605132%
iPhone2023iPhone 15 Pro
MacMacBook AirMac Studio79.577.7iPad6462
75.279.5
266.5267iCloudApple MusicApple TV+
10004%261… [+101 chars]",2025-05-02,2025329953.6943907 53247.8242 6236.361 651.621 53iPhone468.4458 44605132% iPhone2023iPhone15ProMacMacBookAirMacStudio79.577 7iPad646275.279 5266.5267 iCloudAppleMusicAppleTV 10004% 261 101chars,0.12190394897285306,负面
苹果Q2服务业务收入略低于预期 股价盘后下跌逾2%,"1.651.63954946.6iPhone468.4458.42%MaciPad79.57%iPad Air15%64
Apple WatchAirPods75.25%266.511.65%14.2%267iCloudApple MusicApple TV+
CEOiPhoneMaciPadAirPodsApple Watch190iPhone
1608%
100011004%0.26",2025-05-02,1.651 63954946.6 iPhone468.4458 42% MaciPad79.57% iPadAir15% 64AppleWatchAirPods75.25% 266.511 65% 14.2% 267iCloudAppleMusicAppleTV CEOiPhoneMaciPadAirPodsAppleWatch190iPhone1608% 100011004% 0.26,0.27984147275311977,负面
马斯克怒怼特斯拉换帅报道；苹果库克称关税成本暂不转嫁给消费者，但未来难说；游戏科学获五四青年奖章集体,"5 1 
 CEO ·
Robyn Denholm CEO 
9 
5 2 Tim Cook 3 4~6 9 65.41 
iPhoneiPad 
IT 
 AI  
5 1 CCTV 4 30 AI
AIIT 
 
 CEO ITBEAR
 15  
 4 30 CMO 
4 CMO 
 4 
AI 148    
 AI 148 
 Luis von Ah… [+918 chars]",2025-05-02,51CEO RobynDenholmCEO952TimCook34 6965.41 iPhoneiPadITAI 51CCTV430AIAIIT CEOITBEAR15 430CMO4CMO4AI148 AI148LuisvonAh 918chars,4.5815711557928296e-08,负面
科技昨夜今晨 0502：铁路 12306 回应网传“五一前大量放票”；新能源车企 4 月战报出炉；堡垒之夜下周或回归苹果应用商店...,"2025 5 2 
1 27% App Store
 Yvonne Gonzalez Rogers 2021 App Store &gt;&gt; 
2DeepSeek-Prover-V2 AI 88.9% 
DeepSeek4 30 AI Hugging Face DeepSeek-Prover-V2-671B GitHub &gt;&gt; 
3 2025 4 28000 
 5… [+497 chars]",2025-05-02,202552127% AppStoreYvonneGonzalezRogers2021AppStore gt gt 2DeepSeek Prover V2AI88.9% DeepSeek430AIHuggingFaceDeepSeek Prover V2 671BGitHub gt gt 320254280005 497chars,0.0023728102690903086,负面
苹果第二财季营收953.59亿美元 净利润同比增长5%,"2%
4%0.2620255152025512
1000
2025329247.80236.365%1651.538%1505613315464709
295.89279.00
953.59907.535%687.14668.86266.45238.67
448.67422.71
2816228947.5
403.15372.73
244.54243.12
160.02163… [+299 chars]",2025-05-01,2% 4% 0.262025515202551210002025329247 80236.365% 1651.538% 1505613315464709295.89279 00953.59907 535% 687.14668 86266.45238 67448.67422 712816228947.5403 15372.73244 54243.12160 02163 299chars,0.14034839019127188,负面
美国第二季度 iPhone 销量的一半来自印度,"2025 iPhone 2500 3000 2024 1200 iPhone 
 5 1 CNBC iPhone 
 iPhone 
20259545%1.658%
iPhone 16e 
·Kevan Parekh240290
145%
60%
iPhone2026iPhone",2025-05-01,2025iPhone2500300020241200iPhone51CNBCiPhoneiPhone20259545% 1.658% iPhone16e KevanParekh240290145% 60% iPhone2026iPhone,0.06302773523313487,负面
