month,country,m2_yoy
202005,China,11.1
202006,China,11.1
202007,China,10.7
202008,China,10.4
202009,China,10.9
202010,China,10.5
202011,China,10.7
202012,China,10.1
202101,China,9.4
202102,China,10.1
202103,China,9.4
202104,China,8.1
202105,China,8.3
202106,China,8.6
202107,China,8.3
202108,China,8.2
202109,China,8.3
202110,China,8.7
202111,China,8.5
202112,China,9.0
202201,China,9.8
202202,China,9.2
202203,China,9.7
202204,China,10.5
202205,China,11.1
202206,China,11.4
202207,China,12.0
202208,China,12.2
202209,China,12.1
202210,China,11.8
202211,China,12.4
202212,China,11.8
202301,China,12.6
202302,China,12.9
202303,China,12.7
202304,China,12.4
202305,China,11.6
202306,China,11.3
202307,China,10.7
202308,China,10.6
202309,China,10.3
202310,China,10.3
202311,China,10.0
202312,China,9.7
202401,China,8.7
202402,China,8.7
202403,China,8.3
202404,China,7.2
202405,China,7.0
202406,China,6.2
202407,China,6.3
202408,China,6.3
202409,China,6.8
202410,China,7.5
202411,China,7.1
202412,China,7.3
202501,China,7.0
202502,China,7.0
202503,China,7.0
