unchanged,stock_name,new_feature
stock_name,山西汾酒,0.254
stock_name,三一重工,0.2169
stock_name,韦尔股份,0.2157
stock_name,紫金矿业,0.1607
stock_name,金山办公,0.1514
stock_name,兴业银行,0.1305
stock_name,中国电信,0.121
stock_name,招商银行,0.1101
stock_name,中国联通,0.0837
stock_name,中国银行,0.0822
stock_name,海光信息,0.0759
stock_name,工商银行,0.0723
stock_name,恒瑞医药,0.0679
stock_name,农业银行,0.0666
stock_name,保利发展,0.0599
stock_name,交通银行,0.0578
stock_name,贵州茅台,0.0524
stock_name,中微公司,0.0503
stock_name,寒武纪-U,0.037
stock_name,洛阳钼业,0.0213
stock_name,长江电力,0.0205
stock_name,赛力斯,0.0161
stock_name,中芯国际,0.0155
stock_name,中国中免,0.0026
stock_name,伊利股份,0.0017
stock_name,中国移动,-0.0018
stock_name,药明康德,-0.004
stock_name,中国平安,-0.0053
stock_name,邮储银行,-0.0078
stock_name,京沪高铁,-0.01
stock_name,隆基绿能,-0.0376
stock_name,国电南瑞,-0.038
stock_name,中国太保,-0.0461
stock_name,中远海控,-0.0539
stock_name,中国建筑,-0.055
stock_name,中国中铁,-0.0623
stock_name,海天味业,-0.065
stock_name,中国核电,-0.07
stock_name,中国神华,-0.0796
stock_name,长城汽车,-0.0816
stock_name,中信证券,-0.0838
stock_name,中国人寿,-0.0851
stock_name,中国石油,-0.0889
stock_name,中国中车,-0.1181
stock_name,陕西煤业,-0.1185
stock_name,中国石化,-0.1265
stock_name,海尔智家,-0.1294
stock_name,中国船舶,-0.162
stock_name,万华化学,-0.2113
stock_name,通威股份,-0.2336
