stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
600536.SH,20190114,116.08454000000002,116.08454000000002,111.85174,112.80412000000001,21.64,-0.32,-1.4787,95443.77,204544.019,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190115,113.54486000000001,115.66126,111.95756000000002,114.8147,21.32,0.38,1.7824,129893.57,280188.154,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190116,114.70888000000001,126.29617000000002,114.39142000000001,121.85173000000002,21.7,1.33,6.129,477317.87,1111659.619,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190117,120.58189,120.79353,116.66655000000002,120.37025000000001,23.03,-0.28,-1.2158,314317.35,705653.801,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190118,118.83586000000001,119.78824000000002,116.87819,118.57131000000001,22.75,-0.34,-1.4945,180198.98,402684.679,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190121,118.78295,121.00517,117.56602000000001,119.41787000000001,22.41,0.16,0.714,162399.45,366628.105,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190122,119.04750000000001,119.04750000000001,115.97872000000002,117.03692000000001,22.57,-0.45,-1.9938,120479.97,266877.885,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190123,117.19565,117.35438,114.60306000000001,115.02634,22.12,-0.38,-1.7179,92545.44,202109.714,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190124,114.97343000000001,120.74062,114.86761000000001,117.51311000000001,21.74,0.47,2.1619,208777.64,466508.724,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190125,116.34909,120.37025000000001,115.71417000000001,116.50782000000001,22.21,-0.19,-0.8555,165963.12,369176.03,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190128,117.98930000000001,119.57660000000001,115.8729,117.19565,22.02,0.13,0.5904,130538.32,290752.939,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190129,116.56073000000002,117.19565,108.25386000000002,113.54486000000001,22.15,-0.69,-3.1151,149234.29,319679.999,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190130,112.38084,114.17978,109.78825,109.89407,21.46,-0.69,-3.2153,101636.13,214876.149,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190131,111.64010000000002,112.85703,107.14275,108.83587000000001,20.77,-0.2,-0.9629,122487.63,255192.22,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190201,109.31206,112.64539,109.20624000000001,112.06338000000001,20.57,0.61,2.9655,125220.68,263068.869,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190211,113.49195,117.14274000000002,112.11629000000002,116.93110000000001,21.18,0.92,4.3437,174736.85,382062.332,5.291,600536,中国软件,北京,软件服务,20020517
600536.SH,20190212,117.88348000000002,118.73004000000002,115.81999,117.93639,22.1,0.19,0.8597,173155.01,384266.837,5.291,600536,中国软件,北京,软件服务,20020517
