stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
301087.SZ,20240701,48.143480000000004,48.598200000000006,46.7509,48.029799999999994,33.9,-0.1,-0.295,7542.61,25281.393,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240702,48.001380000000005,48.143480000000004,47.26246,47.50403,33.8,-0.37,-1.0947,4761.22,15956.166,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240703,47.3193,47.8877,46.992470000000004,47.24825,33.43,-0.18,-0.5384,3700.7,12327.038,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240704,47.07773,47.29088,45.315690000000004,45.68515,33.25,-1.1,-3.3083,6854.0,22221.487,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240705,45.68515,48.24295000000001,45.38674,47.830859999999994,32.15,1.51,4.6967,8111.97,26846.873,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240708,47.97296,48.200320000000005,45.92672,46.29618,33.66,-1.08,-3.2086,6225.29,20478.216,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240709,46.310390000000005,46.42407,44.91781,45.84146,32.58,-0.32,-0.9822,7475.0,23983.821,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240710,45.82725,46.66564,45.40095,45.69936,32.26,-0.1,-0.31,5537.27,17924.22,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240711,46.111450000000005,47.731390000000005,46.111450000000005,47.24825,32.16,1.09,3.3893,9073.0,30048.42,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240712,47.30509,47.81665,47.10615,47.23404000000001,33.25,-0.01,-0.0301,3716.6,12392.362,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240715,47.04931,47.43298000000001,45.25885,45.6141,33.24,-1.14,-3.4296,9614.13,30947.198,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240716,45.62831,46.29618,45.48621,45.85567,32.1,0.17,0.5296,5903.16,19077.952,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240717,45.6141,47.29088,45.543049999999994,46.793530000000004,32.27,0.66,2.0452,8874.33,29053.215,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240718,46.793530000000004,48.001380000000005,46.06882,47.68876,32.93,0.63,1.9131,7571.92,25186.193,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240719,47.64613000000001,48.10085,47.24825,47.64613000000001,33.56,-0.03,-0.0894,3970.41,13329.087,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240722,47.04931,48.01559,47.04931,47.70297,33.53,0.04,0.1193,4854.59,16289.357,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240723,47.70297,47.75981,45.75620000000001,45.75620000000001,33.57,-1.37,-4.081,5226.1,17082.788,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240724,45.74199,45.997769999999996,44.64782,44.73308,32.2,-0.72,-2.236,5876.6,18644.391,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240725,44.548350000000006,45.514630000000004,44.10784,44.846759999999996,31.48,0.08,0.2541,3885.5,12249.05,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240726,44.78992,45.78462,44.78992,45.543049999999994,31.56,0.49,1.5526,3023.9,9659.364,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240729,45.543049999999994,45.82725,44.46309,44.53414,32.05,-0.71,-2.2153,4479.8,14180.549,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240730,44.349410000000006,44.80413,43.45418,43.66733,31.34,-0.61,-1.9464,5969.6,18436.447,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240731,43.78101,45.72778,43.24103,45.6141,30.73,1.37,4.4582,7880.62,24908.025,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240801,45.75620000000001,46.182500000000005,44.46309,44.832550000000005,32.1,-0.55,-1.7134,6573.1,20847.214,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240802,44.4773,45.84146,44.40625,44.6194,31.55,-0.15,-0.4754,8120.0,25849.596,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240805,44.6194,45.543049999999994,43.83785,43.83785,31.4,-0.55,-1.7516,8549.31,26914.569,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240806,44.3352,45.543049999999994,44.3352,45.14517,30.85,0.92,2.9822,8810.04,27919.332,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240807,45.14517,45.1878,44.13626,44.59098,31.77,-0.39,-1.2276,6342.1,19900.933,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240808,44.4773,45.30148,44.3352,44.903600000000004,31.38,0.22,0.7011,4995.9,15784.936,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240809,44.903600000000004,45.68515,44.64782,44.64782,31.6,-0.18,-0.5696,7464.44,23753.748,1.421,301087,可孚医疗,湖南,医疗保健,20211025
301087.SZ,20240812,44.32099,45.72778,44.32099,45.25885,31.42,0.43,1.3686,7651.0,24378.89,1.421,301087,可孚医疗,湖南,医疗保健,20211025
