trade_date,stock_name,vol
20000724,平安银行,36402.0
20000725,平安银行,40269.0
20000726,平安银行,31042.0
20000727,平安银行,644710.0
20000728,平安银行,176273.0
20000731,平安银行,82135.0
20000801,平安银行,48332.0
20000802,平安银行,54391.0
20000803,平安银行,72860.0
20000804,平安银行,99677.0
20000807,平安银行,31380.0
20000808,平安银行,45152.0
20000809,平安银行,44070.0
20000810,平安银行,44991.0
20000811,平安银行,46668.0
20000814,平安银行,67842.0
20000815,平安银行,28554.0
20000816,平安银行,46560.0
20000817,平安银行,83084.0
20000818,平安银行,34540.0
20000821,平安银行,51396.0
20000822,平安银行,44341.0
20000823,平安银行,87616.0
20000824,平安银行,50126.0
20000825,平安银行,31017.0
20000828,平安银行,33714.0
20000829,平安银行,37677.0
20000830,平安银行,50505.0
20000831,平安银行,43601.0
20000901,平安银行,38581.0
20000904,平安银行,36981.0
20000905,平安银行,39140.0
20000906,平安银行,52028.63
20000907,平安银行,30112.0
20000908,平安银行,24172.0
20000911,平安银行,21988.0
20000912,平安银行,30614.0
20000913,平安银行,71459.0
20000914,平安银行,17968.0
20000915,平安银行,18135.0
20000918,平安银行,24368.0
20000919,平安银行,30940.0
20000920,平安银行,35194.0
20000921,平安银行,38490.0
20000922,平安银行,25148.0
20000925,平安银行,20271.0
20000926,平安银行,19060.0
20000927,平安银行,47383.0
20000928,平安银行,44541.0
20000929,平安银行,19144.0
20001009,平安银行,15295.0
20001010,平安银行,77651.0
20001011,平安银行,129997.0
20001012,平安银行,32432.0
20001013,平安银行,22832.0
20001016,平安银行,20978.0
20001017,平安银行,11648.0
20001018,平安银行,18161.0
20001019,平安银行,16769.0
20001020,平安银行,22719.0
20001023,平安银行,101335.0
20001024,平安银行,37856.0
20001025,平安银行,64760.0
20001026,平安银行,32602.0
20001027,平安银行,30591.0
20001030,平安银行,27639.0
20001031,平安银行,34862.0
20001101,平安银行,52603.0
20001102,平安银行,95079.0
20001103,平安银行,118124.0
20001106,平安银行,53002.0
20001107,平安银行,55643.0
20001108,平安银行,29460.0
20001109,平安银行,29967.0
20001110,平安银行,43950.0
20001113,平安银行,52375.0
20001114,平安银行,39505.0
20001115,平安银行,84688.0
20001116,平安银行,44899.0
20001117,平安银行,49313.0
20001120,平安银行,42288.46
20001121,平安银行,26534.76
20001122,平安银行,27633.63
20001123,平安银行,40003.51
20001124,平安银行,119390.83
20001127,平安银行,29513.79
20001128,平安银行,21900.99
20001129,平安银行,32303.14
20001130,平安银行,25790.25
20001201,平安银行,24196.62
20001204,平安银行,24560.76
20001205,平安银行,19406.93
20001206,平安银行,24500.0
20001207,平安银行,23709.45
20001208,平安银行,51548.79
20001211,平安银行,52914.66
20001212,平安银行,37330.69
20001213,平安银行,19574.05
20001214,平安银行,24805.65
20001215,平安银行,39232.21
20001218,平安银行,47902.66
20001219,平安银行,55099.28
20001220,平安银行,30879.0
20001221,平安银行,28314.56
20001222,平安银行,58951.95
20001225,平安银行,47117.62
20001226,平安银行,45157.27
20001227,平安银行,36036.86
20001228,平安银行,38827.19
20001229,平安银行,23630.92
20010102,平安银行,34122.68
20010103,平安银行,54294.2
20010104,平安银行,48404.44
20010105,平安银行,66419.01
20010108,平安银行,69944.94
20010109,平安银行,52336.37
20010110,平安银行,34503.41
20010111,平安银行,81211.18
20010112,平安银行,38902.96
20010115,平安银行,29981.98
20010116,平安银行,23367.03
20010117,平安银行,46971.37
20010118,平安银行,53659.33
20010119,平安银行,62236.74
20010205,平安银行,24415.95
20010206,平安银行,22101.48
20010207,平安银行,13508.08
20010208,平安银行,24233.76
20010209,平安银行,20286.35
20010212,平安银行,23028.74
20010213,平安银行,15092.15
20010214,平安银行,13593.97
20010215,平安银行,13692.19
20010216,平安银行,16732.14
20010219,平安银行,15319.43
20010220,平安银行,15961.91
20010221,平安银行,36539.27
20010222,平安银行,34421.42
20010223,平安银行,18374.23
20010226,平安银行,18624.35
20010227,平安银行,23521.05
20010228,平安银行,14854.92
20010301,平安银行,21856.71
20010302,平安银行,277292.39
20010305,平安银行,186756.62
20010306,平安银行,60021.8
20010307,平安银行,153459.69
20010308,平安银行,477047.74
20010309,平安银行,315035.53
20010312,平安银行,138881.5
20010313,平安银行,130946.07
20010314,平安银行,320527.51
20010315,平安银行,190425.71
20010316,平安银行,184004.16
20010319,平安银行,120279.8
20010320,平安银行,89125.37
20010321,平安银行,194989.94
20010322,平安银行,138282.81
20010323,平安银行,245737.81
20010326,平安银行,98645.28
20010327,平安银行,75360.29
20010328,平安银行,81723.57
20010329,平安银行,66202.03
20010330,平安银行,85320.59
20010402,平安银行,88258.56
20010403,平安银行,56464.0
20010404,平安银行,97682.85
20010405,平安银行,57501.62
20010406,平安银行,45613.12
20010409,平安银行,43284.07
20010410,平安银行,39710.22
20010411,平安银行,39723.27
20010412,平安银行,72915.15
20010413,平安银行,222942.73
20010416,平安银行,175754.28
20010417,平安银行,89307.99
20010418,平安银行,81575.08
20010419,平安银行,86040.53
20010420,平安银行,105891.3
20010423,平安银行,62462.08
20010424,平安银行,41858.0
20010425,平安银行,123479.58
20010426,平安银行,69619.69
20010427,平安银行,54906.27
20010430,平安银行,38319.0
20010508,平安银行,26478.84
20010509,平安银行,45627.39
20010510,平安银行,35342.0
20010511,平安银行,22410.53
20010514,平安银行,42033.41
20010515,平安银行,31979.03
20010516,平安银行,48507.59
20010517,平安银行,34574.48
20010518,平安银行,69729.58
20010521,平安银行,91222.79
20010522,平安银行,73003.05
20010523,平安银行,72872.17
20010524,平安银行,57709.31
20010525,平安银行,28424.1
20010528,平安银行,109881.81
20010529,平安银行,71346.22
20010530,平安银行,144197.8
20010531,平安银行,68527.21
20010601,平安银行,96910.4
20010604,平安银行,54364.96
20010605,平安银行,52559.38
20010606,平安银行,43113.66
20010607,平安银行,52996.08
20010608,平安银行,38217.87
20010611,平安银行,41376.87
20010612,平安银行,30371.91
20010613,平安银行,41233.11
20010614,平安银行,66614.86
20010615,平安银行,29632.82
20010618,平安银行,41755.04
20010619,平安银行,29865.51
20010620,平安银行,49580.11
20010621,平安银行,44313.45
20010622,平安银行,33045.83
20010625,平安银行,29092.81
20010626,平安银行,33490.91
20010627,平安银行,33555.02
20010628,平安银行,34889.09
20010702,平安银行,22439.02
20010703,平安银行,16216.67
20010704,平安银行,22095.06
20010705,平安银行,80325.95
20010706,平安银行,24026.22
20010709,平安银行,17663.84
20010710,平安银行,14205.85
20010711,平安银行,41445.8
20010712,平安银行,45039.48
20010713,平安银行,25137.59
20010716,平安银行,28337.81
20010717,平安银行,33506.36
20010718,平安银行,22853.8
20010719,平安银行,20263.85
20010720,平安银行,36420.97
20010723,平安银行,26996.06
20010724,平安银行,31326.86
20010725,平安银行,32353.08
20010726,平安银行,29724.06
20010727,平安银行,32433.63
20010730,平安银行,75980.49
20010731,平安银行,40376.43
20010801,平安银行,36467.71
20010802,平安银行,29005.98
20010803,平安银行,37632.71
20010806,平安银行,76041.39
20010807,平安银行,35797.4
20010808,平安银行,27902.22
20010809,平安银行,26722.92
20010810,平安银行,24964.38
20010813,平安银行,22956.97
20010814,平安银行,20427.6
20010815,平安银行,12583.99
20010816,平安银行,29097.41
20010817,平安银行,12351.54
20010820,平安银行,13489.79
20010821,平安银行,13534.36
20010822,平安银行,17110.01
20010823,平安银行,16623.73
20010824,平安银行,13335.28
20010827,平安银行,30753.52
20010828,平安银行,24978.11
20010829,平安银行,15802.32
20010830,平安银行,9265.08
20010831,平安银行,9271.15
20010903,平安银行,13092.4
20010904,平安银行,21234.07
20010905,平安银行,17692.98
20010906,平安银行,13026.48
20010907,平安银行,23369.88
20010910,平安银行,20550.09
20010911,平安银行,15839.2
20010912,平安银行,47979.15
20010913,平安银行,11031.9
20010914,平安银行,22289.79
20010917,平安银行,50960.35
20010918,平安银行,22364.98
20010919,平安银行,52579.44
20010920,平安银行,57348.21
20010921,平安银行,18927.16
20010924,平安银行,11867.08
20010925,平安银行,14115.26
20010926,平安银行,11419.64
20010927,平安银行,14468.77
20010928,平安银行,21822.4
20011008,平安银行,14681.28
20011009,平安银行,22102.76
20011010,平安银行,21277.83
20011011,平安银行,33521.97
20011012,平安银行,58225.45
20011015,平安银行,70961.83
20011016,平安银行,30025.86
20011017,平安银行,104854.89
20011018,平安银行,87073.21
20011019,平安银行,93921.63
20011022,平安银行,56638.87
20011023,平安银行,288159.18
20011024,平安银行,269604.58
20011025,平安银行,83517.58
20011026,平安银行,52168.97
20011029,平安银行,35707.33
20011030,平安银行,42077.61
20011031,平安银行,27271.26
20011101,平安银行,21908.53
20011102,平安银行,23722.16
20011105,平安银行,24612.17
20011106,平安银行,19944.43
20011107,平安银行,51570.72
20011108,平安银行,33479.94
20011109,平安银行,42662.28
20011112,平安银行,22648.28
20011113,平安银行,12828.73
20011114,平安银行,11156.26
20011115,平安银行,14455.79
20011116,平安银行,56401.91
20011119,平安银行,13228.5
20011120,平安银行,32965.12
20011121,平安银行,30015.11
20011122,平安银行,28119.72
20011123,平安银行,19831.45
20011126,平安银行,18437.86
20011127,平安银行,15114.86
20011128,平安银行,25681.79
20011129,平安银行,22331.83
20011130,平安银行,23024.27
20011203,平安银行,31014.37
20011204,平安银行,25995.98
20011205,平安银行,46200.15
20011206,平安银行,34154.11
20011207,平安银行,23498.13
20011210,平安银行,18770.69
20011211,平安银行,21822.25
20011212,平安银行,34074.72
20011213,平安银行,26717.91
20011214,平安银行,20302.45
20011217,平安银行,22050.88
20011218,平安银行,16559.64
20011219,平安银行,24639.2
20011220,平安银行,30866.44
20011221,平安银行,19775.84
20011224,平安银行,29927.87
20011225,平安银行,22477.15
20011226,平安银行,18084.47
20011227,平安银行,22537.76
20011228,平安银行,23829.88
20011231,平安银行,21158.38
20020104,平安银行,12540.59
20020107,平安银行,16117.77
20020108,平安银行,14385.26
20020109,平安银行,23650.08
20020110,平安银行,58288.46
20020111,平安银行,27036.89
20020114,平安银行,47988.18
20020115,平安银行,33789.88
20020116,平安银行,23518.12
20020117,平安银行,39280.84
20020118,平安银行,55843.97
20020121,平安银行,50244.65
20020122,平安银行,34656.4
20020123,平安银行,40742.45
20020124,平安银行,53538.6
20020125,平安银行,24722.85
20020128,平安银行,42525.47
20020129,平安银行,26379.29
20020130,平安银行,17524.93
20020131,平安银行,90681.43
20020201,平安银行,49506.16
20020204,平安银行,34694.45
20020205,平安银行,56953.55
20020206,平安银行,38547.54
20020207,平安银行,37699.52
20020208,平安银行,34232.1
20020225,平安银行,58945.85
20020226,平安银行,45629.29
20020227,平安银行,33362.16
20020228,平安银行,27547.67
20020301,平安银行,34547.67
20020304,平安银行,21196.51
20020305,平安银行,59252.16
20020306,平安银行,115324.87
20020307,平安银行,146089.59
20020308,平安银行,155733.04
20020311,平安银行,90161.41
20020312,平安银行,110899.8
20020313,平安银行,264321.38
20020314,平安银行,89993.25
20020315,平安银行,98778.3
20020318,平安银行,165283.74
20020319,平安银行,99549.96
20020320,平安银行,92908.71
20020321,平安银行,61965.07
20020322,平安银行,63435.26
20020325,平安银行,32796.64
20020326,平安银行,41994.22
20020327,平安银行,24968.11
20020328,平安银行,24931.28
20020329,平安银行,39688.36
20020401,平安银行,27331.7
20020402,平安银行,25417.85
20020403,平安银行,22735.65
20020404,平安银行,29912.16
20020405,平安银行,27113.2
20020408,平安银行,31058.02
20020409,平安银行,69026.51
20020410,平安银行,52035.99
20020411,平安银行,35898.43
20020412,平安银行,28848.79
20020415,平安银行,24409.08
20020416,平安银行,25418.68
20020417,平安银行,19398.83
20020419,平安银行,54656.15
20020422,平安银行,24760.14
20020423,平安银行,28682.03
20020424,平安银行,25372.28
20020425,平安银行,25428.56
20020426,平安银行,29650.95
20020429,平安银行,36360.63
20020430,平安银行,197516.31
20020508,平安银行,79135.26
20020509,平安银行,120076.24
20020510,平安银行,69409.81
20020513,平安银行,49230.4
20020514,平安银行,26344.91
20020515,平安银行,35218.72
20020516,平安银行,65627.73
20020517,平安银行,51529.53
20020520,平安银行,31594.73
20020521,平安银行,56984.73
20020523,平安银行,51567.04
20020524,平安银行,45130.07
20020527,平安银行,22483.08
20020528,平安银行,29559.77
