trade_date,stock_name,vol
20240102,贵州茅台,32156.44
20240103,贵州茅台,20229.29
20240104,贵州茅台,21551.07
20240105,贵州茅台,20242.86
20240108,贵州茅台,25586.2
20240109,贵州茅台,24412.04
20240110,贵州茅台,17350.67
20240111,贵州茅台,16440.55
20240112,贵州茅台,11603.24
20240115,贵州茅台,17854.03
20240116,贵州茅台,25903.14
20240117,贵州茅台,51632.76
20240118,贵州茅台,60439.81
20240119,贵州茅台,46378.43
20240122,贵州茅台,46945.89
20240123,贵州茅台,34834.9
20240124,贵州茅台,33216.35
20240125,贵州茅台,31205.8
20240126,贵州茅台,26954.75
20240129,贵州茅台,31420.68
20240130,贵州茅台,30866.33
20240131,贵州茅台,29649.12
20240201,贵州茅台,26485.15
20240202,贵州茅台,39382.02
20240205,贵州茅台,53130.36
20240206,贵州茅台,52472.04
20240207,贵州茅台,52601.07
20240208,贵州茅台,46756.54
20240219,贵州茅台,36977.44
20240220,贵州茅台,34470.07
20240221,贵州茅台,46154.07
20240222,贵州茅台,22793.61
20240223,贵州茅台,27305.89
20240226,贵州茅台,27318.32
20240227,贵州茅台,22079.85
20240228,贵州茅台,31867.31
20240229,贵州茅台,24758.33
20240301,贵州茅台,26867.96
20240304,贵州茅台,26484.77
20240305,贵州茅台,36238.37
20240306,贵州茅台,22142.48
20240307,贵州茅台,21599.12
20240308,贵州茅台,22156.23
20240311,贵州茅台,29895.09
20240312,贵州茅台,54226.54
20240313,贵州茅台,26499.54
20240314,贵州茅台,19404.79
20240315,贵州茅台,17833.58
20240318,贵州茅台,26055.01
20240319,贵州茅台,23947.53
20240320,贵州茅台,15249.25
20240321,贵州茅台,16595.97
20240322,贵州茅台,25456.14
20240325,贵州茅台,24472.85
20240326,贵州茅台,28069.07
20240327,贵州茅台,18112.58
20240328,贵州茅台,24642.18
20240329,贵州茅台,13456.55
20240401,贵州茅台,27131.37
20240402,贵州茅台,25449.25
20240403,贵州茅台,29045.8
20240408,贵州茅台,59166.59
20240409,贵州茅台,25589.82
20240410,贵州茅台,27630.5
20240411,贵州茅台,22766.24
20240412,贵州茅台,26744.33
20240415,贵州茅台,35817.71
20240416,贵州茅台,26266.23
20240417,贵州茅台,24819.11
20240418,贵州茅台,26568.41
20240419,贵州茅台,23499.92
20240422,贵州茅台,29951.39
20240423,贵州茅台,24979.95
20240424,贵州茅台,17086.43
20240425,贵州茅台,14476.48
20240426,贵州茅台,30995.92
20240429,贵州茅台,41332.23
20240430,贵州茅台,30759.89
20240506,贵州茅台,59909.49
20240507,贵州茅台,24924.52
20240508,贵州茅台,14769.09
20240509,贵州茅台,22387.34
20240510,贵州茅台,26206.61
20240513,贵州茅台,37662.12
20240514,贵州茅台,21274.17
20240515,贵州茅台,15738.76
20240516,贵州茅台,29679.54
20240517,贵州茅台,28923.88
20240520,贵州茅台,31425.72
20240521,贵州茅台,16293.39
20240522,贵州茅台,20285.68
20240523,贵州茅台,18884.97
20240524,贵州茅台,20216.63
20240527,贵州茅台,25097.91
20240528,贵州茅台,23520.87
20240529,贵州茅台,19651.28
20240530,贵州茅台,32207.92
20240531,贵州茅台,21856.65
20240603,贵州茅台,30261.05
20240604,贵州茅台,20841.08
20240605,贵州茅台,19055.57
20240606,贵州茅台,25610.05
20240607,贵州茅台,33524.55
20240611,贵州茅台,70246.76
20240612,贵州茅台,33170.5
20240613,贵州茅台,36185.97
20240614,贵州茅台,59514.16
20240617,贵州茅台,48318.16
20240618,贵州茅台,41258.25
20240619,贵州茅台,41261.53
20240620,贵州茅台,24710.68
20240621,贵州茅台,43319.97
20240624,贵州茅台,63839.93
20240625,贵州茅台,42097.95
20240626,贵州茅台,29569.77
20240627,贵州茅台,32821.78
20240628,贵州茅台,38582.02
20240701,贵州茅台,32161.38
20240702,贵州茅台,51852.98
20240703,贵州茅台,31573.26
20240704,贵州茅台,24379.73
20240705,贵州茅台,38829.38
20240708,贵州茅台,39527.05
