stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
000001.SZ,20190102,1014.4110900000002,1017.65202,989.5639600000001,992.80489,9.38,-0.19,-2.0256,539386.32,498695.109,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190103,991.7245800000001,1007.9292300000001,988.4836500000001,1002.52768,9.19,0.09,0.9793,415537.95,384457.707,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190104,998.20644,1060.86442,996.0458200000002,1053.30225,9.28,0.47,5.0647,1481159.06,1422149.888,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190107,1063.02504,1064.10535,1040.3385300000002,1052.2219400000001,9.75,-0.01,-0.1026,865687.66,841166.43,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190108,1051.14163,1052.2219400000001,1039.25822,1043.5794600000002,9.74,-0.08,-0.8214,402388.11,389247.795,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190109,1052.2219400000001,1088.9524800000002,1047.9007,1073.82814,9.66,0.28,2.8986,1233486.36,1229465.116,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190110,1066.26597,1101.9162,1065.18566,1091.1131,9.94,0.16,1.6097,1071817.66,1079711.035,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190111,1092.19341,1104.0768200000002,1085.7115500000002,1101.9162,10.1,0.1,0.9901,696364.55,708001.802,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190114,1104.0768200000002,1107.3177500000002,1087.87217,1092.19341,10.2,-0.09,-0.8824,500443.59,507862.882,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190115,1092.19341,1110.55868,1090.03279,1106.23744,10.11,0.13,1.2859,542160.55,553027.309,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190116,1106.23744,1134.3255000000001,1105.15713,1132.16488,10.24,0.24,2.3438,977699.37,1017495.116,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190117,1138.64674,1141.88767,1098.67527,1107.3177500000002,10.48,-0.23,-2.1947,882811.92,910212.066,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190118,1117.04054,1133.24519,1110.55868,1126.76333,10.25,0.18,1.7561,738793.26,769973.637,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190121,1117.04054,1131.0845700000002,1114.87992,1117.04054,10.43,-0.09,-0.8629,659355.76,684465.646,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190122,1117.04054,1127.84364,1108.39806,1110.55868,10.34,-0.06,-0.5803,424413.57,438991.45,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190123,1111.63899,1131.0845700000002,1111.63899,1118.12085,10.28,0.07,0.6809,537876.63,559384.396,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190124,1123.5224,1139.7270500000002,1120.28147,1136.48612,10.35,0.17,1.6425,679240.88,711495.718,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190125,1140.80736,1192.6622399999999,1139.7270500000002,1188.3410000000001,10.52,0.48,4.5627,2108361.85,2299718.224,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190128,1192.6622399999999,1203.4653400000002,1175.3772800000002,1181.85914,11.0,-0.06,-0.5455,1035909.8,1141853.833,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190129,1184.0197600000001,1195.90317,1163.49387,1188.3410000000001,10.94,0.06,0.5484,826631.1,904847.854,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190130,1182.93945,1207.78658,1173.21666,1182.93945,11.0,-0.05,-0.4545,712001.01,785204.571,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190131,1186.18038,1209.9472,1181.85914,1199.1441,10.95,0.15,1.3699,831622.75,922602.874,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190201,1209.9472,1215.34875,1184.0197600000001,1209.9472,11.1,0.1,0.9009,1014270.07,1127216.186,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190211,1196.98348,1211.0275100000001,1185.1000700000002,1211.0275100000001,11.2,0.01,0.0893,801936.63,889951.528,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190212,1209.9472,1221.8306100000002,1191.58193,1208.86689,11.21,-0.02,-0.1784,959936.9,1071873.084,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190213,1208.86689,1232.63371,1201.30472,1229.3927800000001,11.19,0.19,1.6979,1137365.74,1280182.096,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190214,1220.7503000000002,1223.99123,1208.86689,1215.34875,11.38,-0.13,-1.1424,869185.19,977818.097,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190215,1213.18813,1213.18813,1177.5379,1182.93945,11.25,-0.3,-2.6667,1100127.46,1213914.428,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190218,1193.7425500000002,1227.23216,1192.6622399999999,1227.23216,10.95,0.41,3.7443,1255522.21,1408279.68,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190219,1227.23216,1255.32022,1214.26844,1217.50937,11.36,-0.09,-0.7923,1270882.04,1445281.382,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190220,1223.99123,1245.59743,1215.34875,1232.63371,11.27,0.14,1.2422,832629.87,949430.819,108.031,1,平安银行,深圳,银行,19910403
