ts_code,name
023581.OF,金鹰民族新兴C
023498.OF,人保中证500C
023465.OF,国投瑞银和兴E
023489.OF,国投瑞银恒泽中短债E
023578.OF,平安添裕E
015401.OF,弘毅远方甄选C
023289.OF,国泰多策略收益灵活C
022658.OF,建信丰融C
015400.OF,弘毅远方甄选A
022657.OF,建信丰融A
023542.OF,平安恒泽E
023543.OF,平安恒鑫E
023452.OF,中欧信息科技C
023546.OF,永赢悦享B
023216.OF,华安众利120天持有A
589680.SH,科创综指ETF鹏华
588840.OF,万家上证科创板50成份ETF
589660.SH,科创综指ETF南方
589000.SH,科创综指ETF华夏
589900.SH,科创综指ETF博时
589770.SH,科创综指ETF招商
023513.OF,银华增强收益D
589990.SH,科创综指ETF华泰柏瑞
020190.OF,农银上证180指数A
023050.OF,交银上证科创板100指数A
023217.OF,华安众利120天持有C
589890.SH,科创综指ETF景顺
023451.OF,中欧信息科技A
023051.OF,交银上证科创板100指数C
513830.OF,嘉实中证港股通高股息投资ETF
589860.SH,科创综指ETF天弘
023533.OF,鑫元中债3-5年国开行D
020191.OF,农银上证180指数C
589080.SH,科创综指ETF汇添富
021899.OF,融通品质优选A
022836.OF,建信中债0-3年政金债指数A
022772.OF,易方达稳裕120天滚动持有A
023511.OF,华商瑞丰短债F
023290.OF,鹏华沪深300指数量化增强A
022623.OF,万家鑫明A
022849.OF,招商中证A50指数增强A
022814.OF,人保民瑞30天滚动持有C
021900.OF,融通品质优选C
022624.OF,万家鑫明C
022837.OF,建信中债0-3年政金债指数C
022850.OF,招商中证A50指数增强C
022773.OF,易方达稳裕120天滚动持有C
023291.OF,鹏华沪深300指数量化增强C
022813.OF,人保民瑞30天滚动持有A
159393.OF,万家沪深300ETF
023470.OF,国投瑞银稳定增利E
023490.OF,国投瑞银中高等级E
589800.SH,科创综指ETF易方达
023510.OF,博时中债7-10年政策性金融债D
589500.SH,科创综指ETF工银
019627.OF,中邮定期开放E
023254.OF,汇添富中证全指软件联接A
023255.OF,汇添富中证全指软件联接C
023450.OF,博时稳定价值E
022203.OF,富国盈和臻选3个月持有C
022202.OF,富国盈和臻选3个月持有A
023512.OF,景顺长城景颐丰利F
023099.OF,金信周期价值A
023100.OF,金信周期价值C
023275.OF,中银淳利三个月持有A
023276.OF,中银淳利三个月持有C
589880.SH,N科创综指ETF建信
159201.SZ,自由现金流ETF
159399.SZ,现金流ETF
023309.OF,博时宏观回报E
023443.OF,永赢鑫辰E
023423.OF,东财沪深300联接E
022191.OF,华宝稳健优选三个月持有A
023402.OF,广发全球精选人民币F
023398.OF,尚正研究睿选C
023397.OF,尚正研究睿选A
022192.OF,华宝稳健优选三个月持有C
023440.OF,方正富邦货币E
508084.SH,汇添富九州通医药REIT
023428.OF,南方养老目标日期2050五年持有Y
023383.OF,华泰柏瑞上证科创板200联接C
023302.OF,鹏华添和30天持有C
023407.OF,华宝创业板人工智能联接A
